150 PA5-A-Debug-Output.txt 6
   -0.29    19.75    31.74        -0.29    19.75    31.74     0.000
  -16.19     1.43    23.20       -16.19     1.43    23.20     0.000
   21.64    20.98   -21.39        21.64    20.98   -21.39     0.000
   21.90    10.23   -30.89        21.90    10.23   -30.89     0.000
   22.27    16.30    36.05        22.27    16.30    36.05     0.000
   -8.68    -1.62    28.04        -8.68    -1.62    28.04     0.000
   31.33    12.33   -20.98        31.33    12.33   -20.98     0.000
   20.88     0.59   -21.12        20.88     0.59   -21.12     0.000
   -0.30   -23.42   -24.81        -0.30   -23.42   -24.81     0.000
   26.02    -5.30   -21.81        26.02    -5.30   -21.81     0.000
   14.90   -16.67    -9.70        14.90   -16.67    -9.70     0.000
  -33.16   -26.02   -32.56       -33.16   -26.02   -32.56     0.000
  -28.51    -3.30   -49.13       -28.51    -3.30   -49.13     0.000
   31.33   -11.64   -14.54        31.33   -11.64   -14.54     0.000
   -9.38     7.36   -33.13        -9.38     7.36   -33.13     0.000
   14.68     9.88    62.64        14.68     9.88    62.64     0.000
